source_id,title,authors,year,type,venue,link_or_doi,relevance_note,local_path,source_label,needs_manual_review
1-s2.0-S0002916524008207-main._6cfdfadc7df4,Original Research Article,unknown,2020,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/1-s2.0-S0002916524008207-main.pdf,1_s2.0_S0002916524008207_main,1
1-s2.0-S1386505625000632-main._f94d882093dc,International Journal of Medical Informatics 197 (2025) 105846,unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/1-s2.0-S1386505625000632-main.pdf,1_s2.0_S1386505625000632_main,1
1-s2.0-S2161831325000341-main._6b8543d407dd,A Scoping Review of Artiﬁcial Intelligence for Precision Nutrition,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/1-s2.0-S2161831325000341-main.pdf,1_s2.0_S2161831325000341_main,1
1-s2.0-S2405457725029249-main._54db238fa54e,Original article,unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/1-s2.0-S2405457725029249-main.pdf,1_s2.0_S2405457725029249_main,1
1-s2.0-S2949761225000768-main._559c0fabcfa7,Artificial Intelligence Techniques and Health,unknown,2014,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/1-s2.0-S2949761225000768-main.pdf,1_s2.0_S2949761225000768_main,1
cancer-2025-1-e70176.pdf_bf8b8ce53c6d,Original Paper,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/cancer-2025-1-e70176.pdf,cancer_2025_1_e70176,1
fdgth-07-1692517.pdf_b57f70af0157,"Paraskevi Papadopoulou,",unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/fdgth-07-1692517.pdf,fdgth_07_1692517,1
formative-2023-1-e46434.pdf_f7cd3d79962c,Original Paper,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/formative-2023-1-e46434.pdf,formative_2023_1_e46434,1
fpubh-13-1689911.pdf_8b1799ae8420,Frontiers in Public Health,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/fpubh-13-1689911.pdf,fpubh_13_1689911,1
jmir-2023-1-e37667.pdf_a7b1f1e569cb,Design Issues in Personalized Nutrition Advice Systems,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/jmir-2023-1-e37667.pdf,jmir_2023_1_e37667,1
jmir-2025-1-e73374.pdf_0dade2c03d08,Improving Explainability and Integrability of Medical AI to Promote,unknown,2014,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/jmir-2025-1-e73374.pdf,jmir_2025_1_e73374,1
jmir-2026-1-e77726.pdf_09206e9a4b3c,Diet-Related Health Recommender Systems for Patients With,unknown,2024,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/jmir-2026-1-e77726.pdf,jmir_2026_1_e77726,1
jpm-15-00058-v2.pdf_d26bbd07bb39,Academic Editor: Marco Manca,unknown,2024,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/jpm-15-00058-v2.pdf,jpm_15_00058_v2,1
