source_id,title,authors,year,type,venue,link_or_doi,relevance_note,local_path,source_label,bib_key,needs_manual_review
1-s2.0-S0002916524008207-main._6cfdfadc7df4,Reliability and reproducibility of systematic reviews informing the 2020–2025 {Dietary} {Guidelines} for {Americans}: a pilot study,"Bodnaruc, Alexandra M and Khan, Hassan and Shaver, Nicole and Bennett, Alexandria and Wong, Yiu Lin and Gracey, Catherine and Ly, Valentina and Shea, Beverley and Little, Julian and Brouwers, Melissa and Bier, Dennis and Moher, David",2020,article,AJCN,https://doi.org/10.1016/j.ajcnut.2024.10.013,TBD [Could not extract text from first page],data/raw/1-s2.0-S0002916524008207-main.pdf,1_s2.0_S0002916524008207_main,bodnaruc_reliability_2025,0
1-s2.0-S1386505625000632-main._f94d882093dc,International Journal of Medical Informatics 197 (2025) 105846,"Salvi, Massimo and Seoni, Silvia and Campagner, Andrea and Gertych, Arkadiusz and Acharya, U.Rajendra and Molinari, Filippo and Cabitza, Federico",2025,article,IJMI,https://doi.org/10.1016/j.ijmedinf.2025.105846,TBD [Could not extract text from first page],data/raw/1-s2.0-S1386505625000632-main.pdf,1_s2.0_S1386505625000632_main,salvi_explainability_2025,0
1-s2.0-S2161831325000341-main._6b8543d407dd,A Scoping Review of Artiﬁcial Intelligence for Precision Nutrition,"Wu, Xizhi and Oniani, David and Shao, Zejia and Arciero, Paul and Sivarajkumar, Sonish and Hilsman, Jordan and Mohr, Alex E and Ibe, Stephanie and Moharir, Minal and Li, Li-Jia and Jain, Ramesh and Chen, Jun and Wang, Yanshan",2020,article,Advances in Nutrition,https://doi.org/10.1016/j.advnut.2025.100398,TBD [Could not extract text from first page],data/raw/1-s2.0-S2161831325000341-main.pdf,1_s2.0_S2161831325000341_main,wu_scoping_2025,0
1-s2.0-S2405457725029249-main._54db238fa54e,Intelligent diet recommendation system powered by artificial intelligence for personalized nutritional solutions,"Amadeh, Tohid and Rafie, Matin and Radmanesh, Shadmehr and Azizi, Alireza and Ahangarian, Ahmadreza and Fathollahi, Pourya and Ahmadloo, Hadise",2025,article,Clinical Nutrition ESPEN,https://doi.org/10.1016/j.clnesp.2025.09.002,TBD [Could not extract text from first page],data/raw/1-s2.0-S2405457725029249-main.pdf,1_s2.0_S2405457725029249_main,amadeh_intelligent_2025,0
1-s2.0-S2949761225000768-main._559c0fabcfa7,Artificial Intelligence Techniques and Health,"Abeo, Abigail Naa Amankwaa and Armstrong, Sophie and Scriney, Michael and Goss, Hannah",2014,article,Elsevier,https://doi.org/10.1016/j.mcpdig.2025.100269,TBD [Could not extract text from first page],data/raw/1-s2.0-S2949761225000768-main.pdf,1_s2.0_S2949761225000768_main,abeo_artificial_2025,0
cancer-2025-1-e70176.pdf_bf8b8ce53c6d,Reducing {Hallucinations} and {Trade}-{Offs} in {Responses} in {Generative} {AI} {Chatbots} for {Cancer} {Information}: {Development} and {Evaluation} {Study},"Nishisako, Sota and Higashi, Takahiro and Wakao, Fumihiko",2025,article,JMIR Cancer,https://doi.org/10.2196/70176,TBD,data/raw/cancer-2025-1-e70176.pdf,cancer_2025_1_e70176,nishisako_reducing_2025,0
fdgth-07-1692517.pdf_b57f70af0157,"Paraskevi Papadopoulou,","Tung, Tina and Hasnaeen, Shah Md Nehal and Zhao, Xiaopeng",2025,article,Frontiers in Digital Health,https://doi.org/10.3389/fdgth.2025.1692517,TBD,data/raw/fdgth-07-1692517.pdf,fdgth_07_1692517,tung_ethical_2025,0
formative-2023-1-e46434.pdf_f7cd3d79962c,Personalized {Flexible} {Meal} {Planning} for {Individuals} {With} {Diet}-{Related} {Health} {Concerns}: {System} {Design} and {Feasibility} {Validation} {Study},"Amiri, Maryam and Li, Juan and Hasan, Wordh",2023,article,JMIR Formative Research,https://doi.org/10.2196/46434,TBD,data/raw/formative-2023-1-e46434.pdf,formative_2023_1_e46434,amiri_personalized_2023,0
fpubh-13-1689911.pdf_8b1799ae8420,Frontiers in Public Health,"Du, Ying and Yang, Peng and Liu, Yuntao and Deng, Chunxia and Li, Xin",2025,article,Frontiers in Public Health,https://doi.org/10.3389/fpubh.2025.1689911,TBD,data/raw/fpubh-13-1689911.pdf,fpubh_13_1689911,du_artificial_2025,0
jmir-2023-1-e37667.pdf_a7b1f1e569cb,Design Issues in Personalized Nutrition Advice Systems,"De Hoogh, Iris M and Reinders, Machiel J and Doets, Esmée L and Hoevenaars, Femke P M and Top, Jan L",2023,article,Journal of Medical Internet Research,https://doi.org/10.2196/37667,TBD,data/raw/jmir-2023-1-e37667.pdf,jmir_2023_1_e37667,de_hoogh_design_2023,0
